Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
120 a 170;205;157;681 (Sat Dec 27 00:00:48 BRST 2008[null]);220;493;0.309;313;1149;0.215;0.254;0.324;0.305;0.245;0.273;0.247;0.238
125 a 175;196;152;712 (Mon Mar 23 01:23:48 BRT 2009[null]);198;498;0.285;286;1133;0.202;0.237;0.302;0.293;0.232;0.267;0.230;0.224
130 a 180;193;140;720 (Sun Apr 12 09:23:23 BRT 2009[null]);192;435;0.307;299;928;0.244;0.272;0.323;0.285;0.269;0.272;0.259;0.223
135 a 185;306;213;731 (Wed Apr 15 07:19:37 BRT 2009[null]);263;617;0.299;407;1461;0.218;0.253;0.331;0.320;0.229;0.257;0.240;0.235
140 a 190;287;198;761 (Wed Apr 22 01:11:38 BRT 2009[null]);239;550;0.303;381;1346;0.221;0.256;0.342;0.334;0.228;0.263;0.240;0.240
145 a 195;306;208;785 (Mon Apr 27 04:12:12 BRT 2009[null]);249;564;0.307;409;1467;0.219;0.256;0.350;0.340;0.222;0.265;0.237;0.241
150 a 200;296;198;798 (Fri May 01 02:16:19 BRT 2009[null]);222;550;0.288;362;1337;0.214;0.246;0.337;0.344;0.210;0.262;0.225;0.242
155 a 205;302;193;806 (Mon May 04 06:22:31 BRT 2009[null]);216;536;0.288;345;1309;0.209;0.243;0.338;0.340;0.210;0.262;0.226;0.241
160 a 210;299;195;815 (Thu May 07 04:10:10 BRT 2009[null]);219;536;0.291;350;1397;0.201;0.238;0.336;0.339;0.213;0.271;0.224;0.241
165 a 215;375;238;832 (Tue May 12 02:37:11 BRT 2009[null]);268;655;0.291;492;2012;0.197;0.235;0.333;0.326;0.210;0.265;0.220;0.230
170 a 220;360;228;870 (Mon Jun 08 22:42:37 BRT 2009[null]);248;612;0.289;472;1953;0.195;0.233;0.333;0.332;0.204;0.267;0.217;0.235
175 a 225;388;255;894 (Sun Jun 28 10:36:54 BRT 2009[null]);305;666;0.315;566;2188;0.206;0.250;0.356;0.334;0.215;0.272;0.232;0.241
180 a 230;359;238;910 (Mon Jul 13 20:11:15 BRT 2009[null]);275;626;0.306;504;2070;0.196;0.239;0.349;0.337;0.209;0.275;0.225;0.243
185 a 235;268;179;918 (Mon Jul 20 19:52:48 BRT 2009[null]);243;459;0.347;449;1608;0.219;0.269;0.384;0.328;0.237;0.279;0.258;0.247
190 a 240;275;185;937 (Fri Jul 31 16:40:20 BRT 2009[null]);250;474;0.346;452;1626;0.218;0.268;0.372;0.326;0.234;0.275;0.254;0.246
195 a 245;256;177;946 (Fri Aug 07 20:57:10 BRT 2009[null]);248;472;0.345;433;1530;0.221;0.270;0.361;0.313;0.239;0.269;0.257;0.239
200 a 250;286;195;961 (Tue Aug 18 20:09:16 BRT 2009[null]);263;479;0.355;471;1775;0.210;0.264;0.372;0.318;0.226;0.274;0.249;0.243
205 a 255;280;198;983 (Thu Aug 27 07:43:01 BRT 2009[null]);277;480;0.366;497;1813;0.216;0.272;0.380;0.326;0.230;0.278;0.253;0.246
210 a 260;273;190;997 (Tue Sep 01 20:21:44 BRT 2009[null]);265;458;0.367;477;1697;0.220;0.276;0.381;0.327;0.226;0.272;0.254;0.248
215 a 265;211;146;1007 (Sat Sep 05 11:14:12 BRT 2009[null]);219;329;0.400;339;1112;0.234;0.296;0.406;0.343;0.232;0.281;0.269;0.262
220 a 270;214;147;1014 (Wed Sep 09 16:49:44 BRT 2009[null]);219;339;0.393;331;1137;0.226;0.287;0.399;0.338;0.226;0.275;0.262;0.255
225 a 275;197;129;1032 (Tue Sep 15 13:34:05 BRT 2009[null]);167;301;0.357;250;967;0.206;0.262;0.355;0.344;0.209;0.274;0.234;0.251
230 a 280;206;139;1040 (Wed Sep 16 16:20:07 BRT 2009[null]);176;320;0.355;259;1043;0.199;0.256;0.342;0.338;0.198;0.263;0.223;0.244
235 a 285;194;137;1063 (Mon Oct 05 16:28:53 BRT 2009[null]);198;313;0.388;309;1161;0.211;0.274;0.362;0.332;0.207;0.278;0.230;0.243
240 a 290;187;131;1083 (Fri Oct 09 11:41:34 BRT 2009[null]);197;304;0.394;310;1129;0.216;0.280;0.368;0.327;0.212;0.282;0.235;0.244
245 a 295;186;129;1120 (Tue Nov 17 10:55:53 BRST 2009[null]);187;291;0.392;297;1109;0.212;0.276;0.362;0.331;0.208;0.283;0.229;0.246
250 a 300;157;108;1153 (Tue Dec 01 12:23:58 BRST 2009[null]);167;258;0.393;254;858;0.229;0.290;0.357;0.329;0.228;0.282;0.245;0.244
255 a 305;149;102;1191 (Sat Dec 12 15:32:27 BRST 2009[null]);145;253;0.365;219;808;0.214;0.270;0.335;0.325;0.212;0.279;0.227;0.240
260 a 310;147;102;1229 (Thu Dec 24 12:39:40 BRST 2009[null]);149;249;0.375;225;792;0.222;0.279;0.344;0.323;0.220;0.280;0.235;0.240
265 a 315;137;102;1251 (Fri Jan 08 22:58:26 BRST 2010[null]);145;255;0.363;221;798;0.217;0.272;0.331;0.315;0.215;0.277;0.228;0.236
270 a 320;137;101;1291 (Wed Feb 10 13:06:01 BRST 2010[null]);141;252;0.359;216;772;0.219;0.273;0.325;0.318;0.212;0.277;0.224;0.237
275 a 325;128;92;1301 (Thu Feb 11 10:19:16 BRST 2010[null]);124;241;0.340;191;703;0.214;0.263;0.313;0.314;0.193;0.259;0.213;0.232
280 a 330;112;79;1324 (Thu Jan 21 21:19:35 BRST 2010[null]);114;211;0.351;183;621;0.228;0.277;0.338;0.326;0.200;0.262;0.227;0.240
285 a 335;85;55;1340 (Fri Feb 26 21:22:21 BRT 2010[null]);46;162;0.222;75;394;0.160;0.186;0.234;0.293;0.125;0.207;0.148;0.206
290 a 340;102;69;1355 (Thu Mar 04 20:18:46 BRT 2010[null]);53;199;0.211;79;466;0.145;0.172;0.253;0.310;0.126;0.208;0.151;0.205
295 a 345;102;67;1370 (Mon Mar 22 13:26:04 BRT 2010[null]);52;199;0.208;76;447;0.146;0.172;0.253;0.312;0.125;0.208;0.150;0.205
300 a 350;95;66;1380 (Sat Mar 27 14:22:03 BRT 2010[null]);50;205;0.197;71;432;0.142;0.166;0.234;0.300;0.121;0.201;0.144;0.199
305 a 355;100;69;1392 (Tue Apr 20 19:44:58 BRT 2010[null]);58;216;0.212;84;445;0.159;0.182;0.244;0.286;0.138;0.199;0.159;0.199
310 a 360;111;75;1441 (Wed May 05 17:18:52 BRT 2010[null]);60;219;0.216;102;509;0.167;0.189;0.258;0.311;0.133;0.206;0.158;0.208
315 a 365;113;79;1457 (Fri Jun 18 21:40:47 BRT 2010[null]);68;210;0.245;112;493;0.186;0.212;0.279;0.319;0.147;0.221;0.175;0.224
320 a 370;113;82;1473 (Mon Jul 05 15:16:46 BRT 2010[null]);81;212;0.277;132;516;0.204;0.235;0.303;0.320;0.182;0.250;0.198;0.228
325 a 375;115;81;1502 (Mon Aug 02 15:51:24 BRT 2010[null]);84;191;0.306;140;526;0.211;0.250;0.334;0.332;0.205;0.268;0.217;0.235
330 a 380;125;88;1519 (Mon Aug 09 12:54:32 BRT 2010[null]);86;217;0.284;139;562;0.199;0.235;0.315;0.338;0.192;0.273;0.204;0.239
335 a 385;132;89;1531 (Tue Aug 17 22:32:43 BRT 2010[null]);85;219;0.280;141;523;0.213;0.242;0.312;0.343;0.205;0.278;0.210;0.237
340 a 390;127;80;1566 (Mon Aug 30 15:03:47 BRT 2010[null]);78;181;0.302;138;541;0.204;0.244;0.292;0.344;0.200;0.282;0.199;0.237
345 a 395;167;96;1581 (Thu Sep 16 12:03:24 BRT 2010[null]);85;212;0.287;149;633;0.191;0.230;0.293;0.360;0.185;0.278;0.189;0.242
350 a 400;197;110;1599 (Fri Oct 15 11:14:48 BRT 2010[null]);96;250;0.278;161;750;0.177;0.217;0.280;0.348;0.173;0.267;0.180;0.234
355 a 405;193;103;1621 (Wed Nov 03 18:27:59 BRST 2010[null]);90;217;0.294;149;752;0.166;0.213;0.292;0.360;0.171;0.277;0.178;0.242
360 a 410;187;101;1640 (Wed Dec 01 19:55:33 BRST 2010[null]);91;229;0.285;134;764;0.150;0.197;0.281;0.344;0.168;0.272;0.174;0.233
365 a 415;202;110;1647 (Thu Dec 16 13:21:22 BRST 2010[null]);85;278;0.235;128;856;0.131;0.169;0.240;0.329;0.146;0.254;0.148;0.211
370 a 420;205;111;1659 (Mon Dec 20 15:31:14 BRST 2010[null]);79;279;0.221;126;867;0.127;0.162;0.230;0.329;0.127;0.232;0.138;0.211
375 a 425;199;112;1680 (Fri Jan 14 15:21:22 BRST 2011[null]);82;289;0.222;125;895;0.123;0.159;0.227;0.321;0.118;0.219;0.133;0.206
380 a 430;226;118;1701 (Fri Jan 28 02:17:16 BRST 2011[null]);82;307;0.211;125;944;0.117;0.151;0.217;0.313;0.106;0.200;0.124;0.194
385 a 435;243;127;1719 (Fri Feb 11 15:55:16 BRST 2011[null]);82;326;0.201;116;1049;0.100;0.134;0.212;0.319;0.091;0.194;0.110;0.188
390 a 440;227;119;1761 (Fri Mar 25 17:44:18 BRT 2011[null]);67;318;0.175;92;928;0.091;0.120;0.201;0.308;0.088;0.189;0.105;0.182
395 a 445;208;107;1774 (Thu Apr 07 23:29:28 BRT 2011[null]);64;300;0.176;88;864;0.093;0.122;0.204;0.300;0.096;0.197;0.110;0.178
400 a 450;194;100;1785 (Mon Apr 11 10:01:15 BRT 2011[null]);61;271;0.184;87;776;0.101;0.131;0.223;0.322;0.106;0.213;0.117;0.190
405 a 455;227;113;1805 (Sat Apr 23 17:37:57 BRT 2011[null]);63;313;0.168;91;885;0.094;0.121;0.202;0.310;0.101;0.202;0.110;0.182
410 a 460;229;114;1850 (Tue May 17 19:54:43 BRT 2011[null]);72;309;0.189;106;889;0.107;0.137;0.214;0.318;0.107;0.208;0.117;0.190
415 a 465;204;98;1859 (Wed May 25 15:51:47 BRT 2011[null]);68;255;0.211;99;762;0.115;0.149;0.240;0.332;0.116;0.222;0.129;0.202
420 a 470;204;100;1891 (Sat Jul 09 19:31:25 BRT 2011[null]);67;271;0.199;90;758;0.107;0.140;0.251;0.337;0.141;0.258;0.143;0.217
425 a 475;208;101;1910 (Fri Aug 12 10:29:55 BRT 2011[null]);68;269;0.202;90;732;0.110;0.143;0.280;0.364;0.146;0.267;0.153;0.230
430 a 480;171;88;1943 (Sun Oct 30 19:51:02 BRST 2011[null]);67;230;0.226;91;675;0.119;0.156;0.309;0.371;0.163;0.283;0.170;0.241
435 a 485;159;78;1972 (Fri Dec 30 02:26:08 BRST 2011[null]);63;206;0.235;92;590;0.135;0.172;0.324;0.377;0.174;0.283;0.187;0.253
440 a 490;157;77;1989 (Sun Mar 11 22:52:17 BRT 2012[null]);69;199;0.258;100;594;0.145;0.186;0.354;0.382;0.186;0.292;0.203;0.259
445 a 495;139;74;1999 (Mon Jun 11 18:24:57 BRT 2012[null]);63;186;0.254;91;598;0.133;0.175;0.327;0.377;0.168;0.280;0.188;0.254
450 a 500;138;75;2011 (Wed Jul 04 08:43:15 BRT 2012[null]);61;177;0.257;89;601;0.129;0.172;0.347;0.389;0.169;0.289;0.198;0.267
455 a 505;103;67;2043 (Mon Jul 30 16:09:50 BRT 2012[null]);56;143;0.282;82;554;0.129;0.178;0.361;0.393;0.176;0.297;0.209;0.273
460 a 510;95;62;2048 (Wed Aug 01 18:19:57 BRT 2012[null]);39;131;0.230;57;485;0.106;0.146;0.331;0.405;0.164;0.293;0.191;0.271
465 a 515;103;69;2054 (Thu Aug 09 11:56:07 BRT 2012[null]);43;160;0.212;66;642;0.094;0.131;0.308;0.391;0.152;0.279;0.178;0.259
470 a 520;98;63;2069 (Wed Sep 19 13:29:55 BRT 2012[null]);38;140;0.214;58;608;0.088;0.125;0.286;0.386;0.116;0.231;0.153;0.238
475 a 525;91;59;2080 (Fri Sep 21 16:02:13 BRT 2012[null]);31;142;0.180;51;606;0.078;0.109;0.216;0.337;0.101;0.195;0.128;0.212
480 a 530;186;68;2101 (Tue Dec 04 14:47:29 BRST 2012[null]);31;161;0.162;49;634;0.072;0.100;0.190;0.317;0.121;0.229;0.122;0.200
485 a 535;214;87;2120 (Thu Jan 10 16:54:56 BRST 2013[null]);40;204;0.164;57;782;0.068;0.097;0.195;0.299;0.120;0.228;0.119;0.183
490 a 540;212;85;2144 (Fri May 17 15:17:18 BRT 2013[null]);34;209;0.140;49;763;0.061;0.085;0.172;0.282;0.114;0.224;0.110;0.174
495 a 545;389;114;2162 (Fri Jul 05 12:24:10 BRT 2013[null]);49;328;0.130;70;979;0.067;0.089;0.154;0.258;0.115;0.223;0.106;0.168
500 a 550;393;114;2186 (Mon Jul 22 00:56:23 BRT 2013[null]);43;347;0.111;61;967;0.060;0.078;0.111;0.196;0.099;0.215;0.082;0.140
505 a 555;417;122;2192 (Fri Feb 22 16:43:29 BRT 2013[null]);60;372;0.139;87;919;0.087;0.108;0.141;0.222;0.125;0.236;0.109;0.165
510 a 560;446;138;2197 (Mon Jul 29 20:22:28 BRT 2013[null]);68;406;0.144;97;999;0.089;0.111;0.140;0.219;0.140;0.260;0.113;0.168
515 a 565;465;150;2221 (Tue Aug 06 13:31:45 BRT 2013[null]);68;416;0.141;96;985;0.089;0.110;0.129;0.217;0.140;0.269;0.108;0.170
520 a 570;537;187;2243 (Fri Aug 16 13:50:04 BRT 2013[null]);78;543;0.126;109;1434;0.071;0.091;0.120;0.216;0.129;0.259;0.102;0.172
525 a 575;552;189;2273 (Tue Aug 27 10:46:12 BRT 2013[null]);81;548;0.129;112;1421;0.074;0.095;0.122;0.215;0.131;0.259;0.104;0.172
530 a 580;475;182;2295 (Fri Sep 13 19:21:13 BRT 2013[null]);77;535;0.126;108;1393;0.072;0.092;0.122;0.218;0.122;0.245;0.101;0.171
535 a 585;429;158;2311 (Fri Sep 20 17:28:50 BRT 2013[null]);64;486;0.117;88;1199;0.069;0.087;0.101;0.193;0.120;0.250;0.095;0.171
540 a 590;446;162;2326 (Fri Sep 27 13:52:32 BRT 2013[null]);69;510;0.120;97;1244;0.073;0.091;0.103;0.192;0.121;0.247;0.097;0.170
545 a 595;277;139;2347 (Fri Oct 11 13:16:51 BRT 2013[null]);54;411;0.117;78;1017;0.072;0.090;0.100;0.197;0.118;0.246;0.094;0.170
550 a 600;276;143;2361 (Wed Oct 16 15:59:56 BRT 2013[null]);67;429;0.136;94;1092;0.080;0.101;0.119;0.216;0.124;0.243;0.104;0.174
555 a 605;245;127;2395 (Wed Nov 20 06:22:52 BRST 2013[null]);49;395;0.111;67;1024;0.062;0.080;0.094;0.192;0.106;0.233;0.084;0.158
560 a 610;213;108;2418 (Wed Dec 04 20:19:33 BRST 2013[null]);41;355;0.104;57;920;0.059;0.076;0.092;0.193;0.088;0.196;0.078;0.152
565 a 615;195;91;2438 (Fri Dec 13 21:19:43 BRST 2013[null]);38;319;0.107;51;784;0.062;0.079;0.104;0.201;0.088;0.176;0.086;0.154
570 a 620;135;58;2466 (Thu Feb 13 20:37:33 BRST 2014[null]);33;193;0.147;47;360;0.116;0.130;0.143;0.205;0.099;0.147;0.109;0.149
575 a 625;135;64;2490 (Fri Feb 07 01:56:47 BRST 2014[null]);31;196;0.137;51;468;0.099;0.115;0.127;0.200;0.081;0.134;0.093;0.143
580 a 630;118;64;2500 (Wed Jun 12 11:04:15 BRT 2013[null]);33;195;0.145;53;452;0.105;0.122;0.135;0.200;0.089;0.137;0.101;0.144
585 a 635;264;68;2516 (Thu Apr 24 15:55:25 BRT 2014[null]);32;205;0.136;52;474;0.099;0.115;0.122;0.196;0.081;0.133;0.092;0.141
590 a 640;250;64;2543 (Thu Jun 12 12:54:23 BRT 2014[null]);27;178;0.132;43;430;0.091;0.108;0.120;0.199;0.077;0.135;0.088;0.143
595 a 645;236;55;2577 (Mon Jul 21 17:09:30 BRT 2014[null]);26;154;0.145;40;402;0.091;0.112;0.135;0.209;0.085;0.142;0.098;0.149
599 a 649;226;41;2584 (ULTIMO);13;106;0.110;24;284;0.078;0.092;0.104;0.157;0.081;0.138;0.088;0.140
